ID,Group
AB218859,Glirinae
AB218860,Glirinae
AB218862,Glirinae
AB218863,Glirinae
AB218864,Glirinae
AB630289,Glirinae
AB630290,Glirinae
AB630291,Glirinae
AB630292,Glirinae
AB630280,Glirinae
LC517455,Glirinae
LC517456,Glirinae
LC517457,Glirinae
AB218848,Glirinae
AB218850,Glirinae
AB630286,Glirinae
AB630281,Glirinae
AB630282,Glirinae
AB218851,Glirinae
AB218867,Glirinae
AB218852,Glirinae
D89003,Glirinae
AB218853,Glirinae
AB630287,Glirinae
AB218835,Glirinae
AB630240,Glirinae
AB218866,Glirinae
AB630237,Glirinae
AB630238,Glirinae
AB218834,Glirinae
AB630288,Glirinae
LC762423,Glirinae
AB630283,Glirinae
AB630285,Glirinae
AB218849,Glirinae
AB630284,Glirinae
AB630263,Glirinae
AB630278,Glirinae
AB630264,Glirinae
AB630265,Glirinae
AB630266,Glirinae
AB630267,Glirinae
AB630268,Glirinae
AB630270,Glirinae
AB630241,Glirinae
AB630242,Glirinae
AB630243,Glirinae
AB630258,Glirinae
AB630259,Glirinae
AB630260,Glirinae
AB630261,Glirinae
AB630262,Glirinae
AB218837,Glirinae
PP971633,Glirinae
AB218836,Glirinae
AB218838,Glirinae
AB218839,Glirinae
AB218840,Glirinae
AB218841,Glirinae
AB218842,Glirinae
AB218844,Glirinae
AB218845,Glirinae
AB218847,Glirinae
AB630244,Glirinae
AB630245,Glirinae
AB630246,Glirinae
AB630249,Glirinae
AB630250,Glirinae
AB630251,Glirinae
AB630252,Glirinae
AB630253,Glirinae
AB630254,Glirinae
AB630255,Glirinae
AB630256,Glirinae
AB630257,Glirinae
AB630269,Glirinae
AB630271,Glirinae
AB630272,Glirinae
AB630273,Glirinae
AB630274,Glirinae
AB630276,Glirinae
AB630277,Glirinae
AB630248,Glirinae
LC762420,Glirinae
LC762421,Glirinae
LC762422,Glirinae
AB218846,Glirinae
AB630247,Glirinae
AB218843,Glirinae
AB630279,Glirinae
PP971635,Leithiinae
MN935778,Leithiinae
FN796771,Leithiinae
FN796772,Leithiinae
FN796773,Leithiinae
HE799314,Leithiinae
KJ631620,Leithiinae
LT614874,Leithiinae
LT614888,Leithiinae
LT614890,Leithiinae
LT614889,Leithiinae
FN796774,Leithiinae
FN796775,Leithiinae
FN796776,Leithiinae
FN796777,Leithiinae
FN796779,Leithiinae
FN796778,Leithiinae
FN796781,Leithiinae
FN796782,Leithiinae
FN796783,Leithiinae
FN796784,Leithiinae
FN796780,Leithiinae
LT614877,Leithiinae
LT614883,Leithiinae
LT614887,Leithiinae
FN796769,Leithiinae
LT614881,Leithiinae
LT614882,Leithiinae
LT614885,Leithiinae
LT614886,Leithiinae
MT410887,Leithiinae
NC050264,Leithiinae
FN796758,Leithiinae
FN796759,Leithiinae
