ID,Group
AB630287,Glirulus
AB218835,Glirulus
AB630240,Glirulus
AB218866,Glirulus
AB630237,Glirulus
AB630238,Glirulus
AB218834,Glirulus
AB630288,Glirulus
LC762423,Glirulus
AB630283,Glirulus
AB630285,Glirulus
AB218849,Glirulus
AB630284,Glirulus
AB630263,Glirulus
AB630278,Glirulus
AB630264,Glirulus
AB630265,Glirulus
AB630266,Glirulus
AB630267,Glirulus
AB630268,Glirulus
AB630270,Glirulus
AB630241,Glirulus
AB630242,Glirulus
AB630243,Glirulus
AB630258,Glirulus
AB630259,Glirulus
AB630260,Glirulus
AB630261,Glirulus
AB630262,Glirulus
AB218837,Glirulus
PP971633,Glirulus
AB218836,Glirulus
AB218838,Glirulus
AB218839,Glirulus
AB218840,Glirulus
AB218841,Glirulus
AB218842,Glirulus
AB218844,Glirulus
AB218845,Glirulus
AB218847,Glirulus
AB630244,Glirulus
AB630245,Glirulus
AB630246,Glirulus
AB630249,Glirulus
AB630250,Glirulus
AB630251,Glirulus
AB630252,Glirulus
AB630253,Glirulus
AB630254,Glirulus
AB630255,Glirulus
AB630256,Glirulus
AB630257,Glirulus
AB630269,Glirulus
AB630271,Glirulus
AB630272,Glirulus
AB630273,Glirulus
AB630274,Glirulus
AB630276,Glirulus
AB630277,Glirulus
AB630248,Glirulus
LC762420,Glirulus
LC762421,Glirulus
LC762422,Glirulus
AB218846,Glirulus
AB630247,Glirulus
AB218843,Glirulus
AB630279,Glirulus
PP971635,Selevinia
MN935778,Muscardinus
FN796771,Muscardinus
FN796772,Muscardinus
FN796773,Muscardinus
HE799314,Muscardinus
KJ631620,Muscardinus
LT614874,Muscardinus
LT614888,Muscardinus
LT614890,Muscardinus
LT614889,Muscardinus
FN796774,Muscardinus
FN796775,Muscardinus
FN796776,Muscardinus
FN796777,Muscardinus
FN796779,Muscardinus
FN796778,Muscardinus
FN796781,Muscardinus
FN796782,Muscardinus
FN796783,Muscardinus
FN796784,Muscardinus
FN796780,Muscardinus
LT614877,Muscardinus
LT614883,Muscardinus
LT614887,Muscardinus
FN796769,Muscardinus
LT614881,Muscardinus
LT614882,Muscardinus
LT614885,Muscardinus
LT614886,Muscardinus
MT410887,Muscardinus
NC050264,Muscardinus
FN796758,Muscardinus
FN796759,Muscardinus
FN796760,Muscardinus
FN796761,Muscardinus
FN796762,Muscardinus
FN796763,Muscardinus
FN796764,Muscardinus
FN796765,Muscardinus
FN796766,Muscardinus
FN796767,Muscardinus
FN796768,Muscardinus
FN796770,Muscardinus
HE799313,Muscardinus
KP257560,Muscardinus
KP257561,Muscardinus
KP257562,Muscardinus
KP257563,Muscardinus
LT614875,Muscardinus
LT614876,Muscardinus
LT614878,Muscardinus
LT614879,Muscardinus
LT614884,Muscardinus
FN796755,Muscardinus
FN796757,Muscardinus
FN796756,Muscardinus
FN796754,Muscardinus
LT614891,Muscardinus
FN796753,Muscardinus
FM160657,Glis
MZ420649,Graphiurus
KF931103,Glis
KF931104,Glis
KF931105,Glis
KF931106,Glis
KF931107,Glis
KF931108,Glis
KF931109,Glis
KF931110,Glis
KF931112,Glis
KF931111,Glis
FM160662,Glis
KJ850430,Glis
KJ850431,Glis
FM160664,Glis
AJ001562,Glis
NC001892,Glis
PQ533847,Glis
PQ533848,Glis
KF699243,Glis
KF699242,Dryomys
KT922160,Glis
KT922161,Glis
MK335777,Glis
FM160651,Glis
FM160653,Glis
FM160655,Glis
KJ850421,Glis
KJ850422,Glis
KJ850423,Glis
KJ850424,Glis
KJ850425,Glis
KJ850426,Glis
KJ850427,Glis
KJ850428,Glis
KJ850429,Glis
FM160652,Glis
FM160654,Glis
KM061382,Glis
KM061383,Glis
FM160656,Glis
JF318976,Glis
MN460849,Glis
FM160665,Glis
FM160660,Glis
FM160733,Glis
FM160734,Glis
FM160659,Glis
FM160658,Glis
HE613993,Eliomys
HE613991,Eliomys
KF422705,Eliomys
OL908019,Dryomys
OL908020,Dryomys
OL908021,Dryomys
OL908022,Dryomys
OL908023,Dryomys
OL908013,Dryomys
OL908014,Dryomys
OL908015,Dryomys
OL908016,Dryomys
OL908017,Dryomys
OL908018,Dryomys
OL907996,Dryomys
OL907997,Dryomys
OL907998,Dryomys
OL907999,Dryomys
PQ533836,Dryomys
OL908001,Dryomys
OL908002,Dryomys
OL908003,Dryomys
OL908004,Dryomys
OL908005,Dryomys
OL908006,Dryomys
OL908000,Dryomys
OL908007,Dryomys
OL908008,Dryomys
OL908009,Dryomys
OL908010,Dryomys
OL908011,Dryomys
OL908012,Dryomys
OL907995,Dryomys
PP971634,Myomimus
NC050023,Simosciurus
NC050013,Echinosciurus
NC065807,Sciurus
NC026443,Hylopetes
AF011738,Glaucomys
NC023089,Petaurista
PQ533850,Spermophilus
PQ533849,Spermophilus
PQ533851,Spermophilus
NC031210,Callospermophilus
NC086592,Marmota
NC032372,Tamias
NC080357,Tamiops
NC029325,Tamiops
NC049032,Sundasciurus
NC048991,Dremomys
NC025550,Callosciurus
NC030070,Lariscus
NC030071,Callosciurus
NC030072,Exilisciurus
NC023780,Ratufa
